,title,release_year,locations,Input Name,Best Guess,index,eas_baseid,address,address_number,street_name,street_type,zip_code,cnn,longitude,latitude,point,supdist,supdistpad,numbertext,nhood,data_as_of,data_loaded_at,address_number_suffix,complete_landmark_name
0,Always Be My Maybe,2019,717 grant ave,717 grant ave,717 grant ave,3549.0,280307,717 grant ave,717,grant,ave,94108,6393000,-122.40636378,37.79364769,"{'type': 'Point', 'coordinates': [-122.406363779, 37.793647693]}",SUPERVISORIAL DISTRICT 3,03,THREE,Chinatown,2025-01-19T03:36:00.000,2025-01-19T10:04:00.630,,
1,DEVS,2020,filbert btwn powell and stockton,filbert btwn powell and stockton,310 b filbert st,460.0,447288,310 b filbert st,310,filbert,st,94133,5494001,-122.40511485,37.80218768,"{'type': 'Point', 'coordinates': [-122.405114853, 37.802187682]}",SUPERVISORIAL DISTRICT 3,03,THREE,North Beach,2025-01-19T03:38:00.000,2025-01-19T10:04:00.630,B,
2,Faces of Death,1978,Empty,Empty,Empty,,,,,,,,,,,,,,,,,,,
3,Romeo Must Die,2000,embarcadero street,embarcadero street,0 the embarcadero,21.0,481023,0 the embarcadero,0,embarcadero,,94105,12549201,-122.38636372,37.78812404,"{'type': 'Point', 'coordinates': [-122.386363719, 37.78812404]}",SUPERVISORIAL DISTRICT 6,06,SIX,Financial District/South Beach,2025-01-19T03:38:00.000,2025-01-19T10:04:00.630,,
4,San Andreas,2015,fort baker,fort baker,1 baker st,4062.0,298036,1 baker st,1,baker,st,94117,2604000,-122.44075372,37.77107289,"{'type': 'Point', 'coordinates': [-122.440753723, 37.771072891]}",SUPERVISORIAL DISTRICT 5,05,FIVE,Haight Ashbury,2025-01-19T03:36:00.000,2025-01-19T10:04:00.630,,
5,The Organization,1971,Empty,Empty,Empty,,,,,,,,,,,,,,,,,,,
6,DEVS,2020,brannan btwn 3rd and 6th st,brannan btwn 3rd and 6th st,326 brannan st,298.0,366253,326 brannan st,326,brannan,st,94107,3075000,-122.39289649,37.78150797,"{'type': 'Point', 'coordinates': [-122.392896492, 37.781507975]}",SUPERVISORIAL DISTRICT 6,06,SIX,Financial District/South Beach,2025-01-19T03:37:00.000,2025-01-19T10:04:00.630,,
7,Chance- Season 1 ep103,2016,17th and arkansas,17th and arkansas,133 a arkansas st,1602.0,493125,133 a arkansas st,133,arkansas,st,94107,2436000,-122.39835875,37.76449301,"{'type': 'Point', 'coordinates': [-122.398358747, 37.764493012]}",SUPERVISORIAL DISTRICT 10,10,TEN,Potrero Hill,2025-01-19T03:39:00.000,2025-01-19T10:04:00.630,A,
8,Getting Even with Dad,1994,california & grant streets,california & grant streets,1 california st,4109.0,280800,1 california st,1,california,st,94111,3524000,-122.39704304,37.79321375,"{'type': 'Point', 'coordinates': [-122.397043036, 37.793213746]}",SUPERVISORIAL DISTRICT 3,03,THREE,Financial District/South Beach,2025-01-19T03:36:00.000,2025-01-19T10:04:00.630,,
9,Night of Henna,2005,Empty,Empty,Empty,,,,,,,,,,,,,,,,,,,
10,The Matrix Resurrections,2021,california at grant ave,california at grant ave,275 california ave,3834.0,483483,275 california ave,275,california,ave,94130,14019001,-122.37000267,37.81904201,"{'type': 'Point', 'coordinates': [-122.370002666, 37.819042011]}",SUPERVISORIAL DISTRICT 6,06,SIX,Treasure Island,2025-01-19T03:38:00.000,2025-01-19T10:04:00.630,,
11,DEVS,2020,21st st at san carlos,21st st at san carlos,15 a san carlos st,3482.0,483069,15 a san carlos st,15,san carlos,st,94110,11403000,-122.42011379,37.76242176,"{'type': 'Point', 'coordinates': [-122.420113786, 37.762421764]}",SUPERVISORIAL DISTRICT 9,09,NINE,Mission,2025-01-19T03:38:00.000,2025-01-19T10:04:00.630,A,
12,The Towering Inferno,1974,"fairmont hotel (950 mason street, nob hill)","fairmont hotel (950 mason street, nob hill)",950 mason st,1075.0,280508,950 mason st,950,mason,st,94108,8812000,-122.41067191,37.79217524,"{'type': 'Point', 'coordinates': [-122.410671906, 37.792175242]}",SUPERVISORIAL DISTRICT 3,03,THREE,Nob Hill,2025-01-19T03:36:00.000,2025-01-19T10:04:00.630,,
13,Fearless,1993,400 montgomery street,400 montgomery street,400 montgomery st,4711.0,280455,400 montgomery st,400,montgomery,st,94104,9301000,-122.40256718,37.79314864,"{'type': 'Point', 'coordinates': [-122.402567175, 37.793148642]}",SUPERVISORIAL DISTRICT 3,03,THREE,Financial District/South Beach,2025-01-19T03:36:00.000,2025-01-19T10:04:00.630,,
14,The Phone/Jexi,2019,1423 golden gate ave,1423 golden gate ave,1423 golden gate ave,4075.0,474749,1423 golden gate ave,1423,golden gate,ave,94115,6272000,-122.43408794,37.77905718,"{'type': 'Point', 'coordinates': [-122.43408794, 37.779057179]}",SUPERVISORIAL DISTRICT 5,05,FIVE,Western Addition,2025-01-19T03:38:00.000,2025-01-19T10:04:00.630,,
15,Pacific Heights,1990,texas & 19th streets (potrero hill),texas & 19th streets (potrero hill),179 texas st,2610.0,503428,179 texas st,179,texas,st,94107,12539000,-122.39558077,37.76429043,"{'type': 'Point', 'coordinates': [-122.395580765, 37.764290432]}",SUPERVISORIAL DISTRICT 10,10,TEN,Potrero Hill,2025-01-19T03:40:00.000,2025-01-19T10:04:00.630,,
16,Sense8,2015,z space studios; 450 florida st.,z space studios; 450 florida st.,450 florida st,879.0,451223,450 florida st,450,florida,st,94110,5621000,-122.41175076,37.76358273,"{'type': 'Point', 'coordinates': [-122.411750756, 37.763582732]}",SUPERVISORIAL DISTRICT 9,09,NINE,Mission,2025-01-19T03:38:00.000,2025-01-19T10:04:00.630,,
17,Steve Jobs,2015,intersection of columbus and kearny,intersection of columbus and kearny,4 columbus ave,3376.0,279801,4 columbus ave,4,columbus,ave,94111,4286000,-122.40364725,37.79601406,"{'type': 'Point', 'coordinates': [-122.403647251, 37.796014065]}",SUPERVISORIAL DISTRICT 3,03,THREE,Chinatown,2025-01-19T03:36:00.000,2025-01-19T10:04:00.630,,
18,Looking Season 2 ep 209,2015,8 octavia street,8 octavia street,8 octavia st,2423.0,483419,8 octavia st,8,octavia,st,94102,9875201,-122.4233932,37.77258668,"{'type': 'Point', 'coordinates': [-122.423393202, 37.772586681]}",SUPERVISORIAL DISTRICT 6,06,SIX,Hayes Valley,2025-01-19T03:38:00.000,2025-01-19T10:04:00.630,,
19,A View to a Kill,1985,"burger island (901 3rd street, china basin)","burger island (901 3rd street, china basin)",691 china basin st,741.0,491953,691 china basin st,691,china basin,st,94158,15026000,-122.39269363,37.77166575,"{'type': 'Point', 'coordinates': [-122.392693627, 37.771665746]}",SUPERVISORIAL DISTRICT 6,06,SIX,Mission Bay,2025-01-19T03:38:00.000,2025-01-19T10:04:00.630,,
20,Looking,2014,st. francis fountain,st. francis fountain,56 a francis st,55.0,491184,56 a francis st,56,francis,st,94112,5753000,-122.43434951,37.72730319,"{'type': 'Point', 'coordinates': [-122.434349513, 37.727303191]}",SUPERVISORIAL DISTRICT 11,11,ELEVEN,Outer Mission,2025-01-19T03:38:00.000,2025-01-19T10:04:00.630,A,
21,Chance- Season 1 ep102,2016,heron and berwick alleys,heron and berwick alleys,7 heron st,3324.0,365928,7 heron st,7,heron,st,94103,6893000,-122.40829008,37.77458667,"{'type': 'Point', 'coordinates': [-122.408290082, 37.774586669]}",SUPERVISORIAL DISTRICT 6,06,SIX,South of Market,2025-01-19T03:37:00.000,2025-01-19T10:04:00.630,,
22,Memoirs of an Invisible Man,1992,st. elizabeth apartment house (901 powell street at sacramento),st. elizabeth apartment house (901 powell street at sacramento),2916 a sacramento st,4118.0,292599,2916 a sacramento st,2916,sacramento,st,94115,11261000,-122.44152778,37.78915473,"{'type': 'Point', 'coordinates': [-122.441527782, 37.789154734]}",SUPERVISORIAL DISTRICT 2,02,TWO,Pacific Heights,2025-01-19T03:36:00.000,2025-01-19T10:04:00.630,A,
