,title,release_year,locations,Input Name,Best Guess,Unnamed: 0,index,eas_baseid,address,address_number,street_name,street_type,zip_code,cnn,longitude,latitude,point,supdist,supdistpad,numbertext,nhood,data_as_of,data_loaded_at,address_number_suffix,complete_landmark_name,release_decade
0,Always Be My Maybe,2019,717 grant ave,717 grant ave,717 grant ave,198549.0,3549.0,280307.0,717 grant ave,717.0,grant,ave,94108.0,6393000.0,-122.40636378,37.79364769,"{'type': 'Point', 'coordinates': [-122.406363779, 37.793647693]}",SUPERVISORIAL DISTRICT 3,3.0,THREE,Chinatown,2025-01-19T03:36:00.000,2025-01-19T10:04:00.630,,,2010
1,DEVS,2020,filbert btwn powell and stockton,filbert btwn powell and stockton,310 b filbert st,125460.0,460.0,447288.0,310 b filbert st,310.0,filbert,st,94133.0,5494001.0,-122.40511485,37.80218768,"{'type': 'Point', 'coordinates': [-122.405114853, 37.802187682]}",SUPERVISORIAL DISTRICT 3,3.0,THREE,North Beach,2025-01-19T03:38:00.000,2025-01-19T10:04:00.630,B,,2020
2,Faces of Death,1978,Empty,Empty,Empty,,,,,,,,,,,,,,,,nan,,,,,1970
3,Romeo Must Die,2000,embarcadero street,embarcadero street,0 the embarcadero,21.0,21.0,481023.0,0 the embarcadero,0.0,embarcadero,,94105.0,12549201.0,-122.38636372,37.78812404,"{'type': 'Point', 'coordinates': [-122.386363719, 37.78812404]}",SUPERVISORIAL DISTRICT 6,6.0,SIX,Financial District/South Beach,2025-01-19T03:38:00.000,2025-01-19T10:04:00.630,,,2000
4,San Andreas,2015,fort baker,fort baker,1 baker st,74062.0,4062.0,298036.0,1 baker st,1.0,baker,st,94117.0,2604000.0,-122.44075372,37.77107289,"{'type': 'Point', 'coordinates': [-122.440753723, 37.771072891]}",SUPERVISORIAL DISTRICT 5,5.0,FIVE,Haight Ashbury,2025-01-19T03:36:00.000,2025-01-19T10:04:00.630,,,2010
5,The Organization,1971,Empty,Empty,Empty,,,,,,,,,,,,,,,,nan,,,,,1970
6,DEVS,2020,brannan btwn 3rd and 6th st,brannan btwn 3rd and 6th st,326 brannan st,130298.0,298.0,366253.0,326 brannan st,326.0,brannan,st,94107.0,3075000.0,-122.39289649,37.78150797,"{'type': 'Point', 'coordinates': [-122.392896492, 37.781507975]}",SUPERVISORIAL DISTRICT 6,6.0,SIX,Financial District/South Beach,2025-01-19T03:37:00.000,2025-01-19T10:04:00.630,,,2020
7,Chance- Season 1 ep103,2016,17th and arkansas,17th and arkansas,133 a arkansas st,26602.0,1602.0,493125.0,133 a arkansas st,133.0,arkansas,st,94107.0,2436000.0,-122.39835875,37.76449301,"{'type': 'Point', 'coordinates': [-122.398358747, 37.764493012]}",SUPERVISORIAL DISTRICT 10,10.0,TEN,Potrero Hill,2025-01-19T03:39:00.000,2025-01-19T10:04:00.630,A,,2010
8,Getting Even with Dad,1994,california & grant streets,california & grant streets,1 california st,74109.0,4109.0,280800.0,1 california st,1.0,california,st,94111.0,3524000.0,-122.39704304,37.79321375,"{'type': 'Point', 'coordinates': [-122.397043036, 37.793213746]}",SUPERVISORIAL DISTRICT 3,3.0,THREE,Financial District/South Beach,2025-01-19T03:36:00.000,2025-01-19T10:04:00.630,,,1990
9,Night of Henna,2005,Empty,Empty,Empty,,,,,,,,,,,,,,,,nan,,,,,2000
10,The Matrix Resurrections,2021,california at grant ave,california at grant ave,275 california ave,113834.0,3834.0,483483.0,275 california ave,275.0,california,ave,94130.0,14019001.0,-122.37000267,37.81904201,"{'type': 'Point', 'coordinates': [-122.370002666, 37.819042011]}",SUPERVISORIAL DISTRICT 6,6.0,SIX,Treasure Island,2025-01-19T03:38:00.000,2025-01-19T10:04:00.630,,,2020
11,DEVS,2020,21st st at san carlos,21st st at san carlos,15 a san carlos st,48482.0,3482.0,483069.0,15 a san carlos st,15.0,san carlos,st,94110.0,11403000.0,-122.42011379,37.76242176,"{'type': 'Point', 'coordinates': [-122.420113786, 37.762421764]}",SUPERVISORIAL DISTRICT 9,9.0,NINE,Mission,2025-01-19T03:38:00.000,2025-01-19T10:04:00.630,A,,2020
12,The Towering Inferno,1974,"fairmont hotel (950 mason street, nob hill)","fairmont hotel (950 mason street, nob hill)",950 mason st,221075.0,1075.0,280508.0,950 mason st,950.0,mason,st,94108.0,8812000.0,-122.41067191,37.79217524,"{'type': 'Point', 'coordinates': [-122.410671906, 37.792175242]}",SUPERVISORIAL DISTRICT 3,3.0,THREE,Nob Hill,2025-01-19T03:36:00.000,2025-01-19T10:04:00.630,,,1970
13,Fearless,1993,400 montgomery street,400 montgomery street,400 montgomery st,149711.0,4711.0,280455.0,400 montgomery st,400.0,montgomery,st,94104.0,9301000.0,-122.40256718,37.79314864,"{'type': 'Point', 'coordinates': [-122.402567175, 37.793148642]}",SUPERVISORIAL DISTRICT 3,3.0,THREE,Financial District/South Beach,2025-01-19T03:36:00.000,2025-01-19T10:04:00.630,,,1990
14,The Phone/Jexi,2019,1423 golden gate ave,1423 golden gate ave,1423 golden gate ave,34075.0,4075.0,474749.0,1423 golden gate ave,1423.0,golden gate,ave,94115.0,6272000.0,-122.43408794,37.77905718,"{'type': 'Point', 'coordinates': [-122.43408794, 37.779057179]}",SUPERVISORIAL DISTRICT 5,5.0,FIVE,Western Addition,2025-01-19T03:38:00.000,2025-01-19T10:04:00.630,,,2010
